Year,quarter,airport_1,airport_2,fare,fare_lg,fare_low,carrier_lg,carrier_low
2016,Q3,ABQ,DAL,205.92,205.99,205.99,WN,WN
2016,Q3,ABQ,DFW,221.94,221.59,221.59,AA,AA
2016,Q3,ABQ,PHX,160.49,156.42,156.42,WN,WN
2016,Q3,ABQ,BOS,276.77,244.37,244.37,WN,WN
2016,Q3,ABQ,MHT,266.74,260.24,237,WN,UA
2016,Q3,ABQ,PVD,286.3,269.4,269.4,WN,WN
2016,Q3,ABQ,BWI,273.19,267.33,267.33,WN,WN
2016,Q3,ABQ,DCA,282.41,268.46,262.64,WN,DL
2016,Q3,ABQ,IAD,313.21,331.17,306.25,UA,WN
2016,Q3,ABQ,MDW,235.05,234.99,234.99,WN,WN
2016,Q3,ABQ,ORD,287.91,299.16,270.04,AA,UA
2016,Q3,ABQ,HOU,239.98,239.73,239.73,WN,WN
2016,Q3,ABQ,IAH,264.11,260.95,260.95,UA,UA
2016,Q3,ABQ,EWR,282.61,296.72,231.41,UA,WN
2016,Q3,ABQ,HPN,301.21,286.83,286.83,DL,DL
2016,Q3,ABQ,ISP,235.11,236.66,128,WN,AA
2016,Q3,ABQ,JFK,216.52,203.37,203.37,B6,B6
2016,Q3,ABQ,LGA,262.14,305.73,228.41,AA,UA
2016,Q3,ABQ,SWF,333.5,326.83,326.83,AA,AA
2016,Q3,ABQ,OAK,209.84,208.8,208.8,WN,WN
2016,Q3,ABQ,SFO,248.8,254.47,228.83,UA,WN
2016,Q3,ABQ,SJC,242.63,239.85,239.85,WN,WN
2016,Q3,ABQ,BUR,251.41,244.13,244.13,WN,WN
2016,Q3,ABQ,LAX,183.08,170.71,170.71,WN,WN
2016,Q3,ABQ,LGB,197.04,244.11,149.56,AA,WN
2016,Q3,ABQ,ONT,243.52,234.5,234.5,WN,WN
2016,Q3,ABQ,SNA,246.03,234.05,234.05,WN,WN
2016,Q3,ACK,EWR,227.49,200.73,200.73,B6,B6
2016,Q3,ACK,HPN,318.05,318.05,318.05,9K,9K
2016,Q3,ACK,JFK,195.9,194.49,194.49,B6,B6
2016,Q3,ACK,LGA,177.02,175.58,175.58,AA,AA
2016,Q3,ACY,FLL,97.28,97.28,97.28,NK,NK
2016,Q3,COS,DFW,213.96,211.93,211.93,AA,AA
2016,Q3,COS,BWI,325.01,327.4,278.34,UA,DL
2016,Q3,COS,DCA,301.59,287.66,287.66,AA,AA
2016,Q3,COS,IAD,314.37,299.09,299.09,UA,UA
2016,Q3,DAL,PIT,187.8,186.93,186.93,WN,WN
2016,Q3,DFW,PIT,251.13,254.57,205.92,AA,UA
2016,Q3,DAL,DEN,139.36,139.33,139.33,WN,WN
2016,Q3,DFW,DEN,130.23,146.38,79.43,AA,F9
2016,Q3,DAL,TUS,249.13,249.13,249.13,WN,WN
2016,Q3,DFW,TUS,286.81,288.62,211.92,AA,DL
2016,Q3,DAL,PHX,141.41,141.41,141.41,WN,WN
2016,Q3,DFW,PHX,157.39,161.18,81.77,AA,NK
2016,Q3,DAL,BDL,273.07,269.57,269.57,WN,WN
2016,Q3,DFW,BDL,321.55,321.9,307.47,AA,DL
2016,Q3,DAL,SEA,195.32,194.03,194.03,WN,WN
2016,Q3,DFW,SEA,207.76,212.46,195.82,AA,AS
2016,Q3,DAL,ELP,220.05,220.09,220.09,WN,WN
2016,Q3,DFW,ELP,233.97,234.59,234.59,AA,AA
2016,Q3,DAL,BNA,209.82,209.51,209.51,WN,WN
2016,Q3,DFW,BNA,199.18,198.44,198.44,AA,AA
2016,Q3,DAL,BWI,170.62,170.2,170.2,WN,WN
2016,Q3,DAL,DCA,161.01,164.1,156.33,WN,VX
2016,Q3,DAL,IAD,235.04,229.09,229.09,WN,WN
2016,Q3,DFW,BWI,170.64,200.48,93.17,AA,NK
2016,Q3,DFW,DCA,221.73,221.85,219.55,AA,DL
2016,Q3,DFW,IAD,203.14,204.51,195.04,AA,UA
2016,Q3,DAL,STL,190.95,190.87,190.87,WN,WN
2016,Q3,DFW,STL,206.43,206.08,206.08,AA,AA
2016,Q3,DAL,JAX,231.52,235.07,223.22,WN,DL
2016,Q3,DFW,JAX,295.65,304.55,246.12,AA,DL
2016,Q3,DAL,DTW,162.62,160.92,160.92,WN,WN
2016,Q3,DFW,DTW,172.5,184.81,86.66,AA,NK
2016,Q3,DAL,DSM,238.18,238.32,238.32,WN,WN
2016,Q3,DFW,DSM,259.84,259.84,250.48,AA,DL
2016,Q3,DAL,HOU,196.84,196.86,196.86,WN,WN
2016,Q3,DFW,HOU,211.1,211.81,211.81,AA,AA
2016,Q3,DFW,IAH,201.99,206.59,193.99,AA,UA
2016,Q3,DAL,MCO,149.53,149.19,149.19,WN,WN
2016,Q3,DFW,MCO,146.33,157.06,80.87,AA,NK
2016,Q3,DAL,VPS,263.43,263.43,263.43,DL,DL
2016,Q3,DFW,VPS,257.49,257.74,220.57,AA,UA
2016,Q3,DAL,MSP,160.14,158.62,158.62,WN,WN
2016,Q3,DFW,MSP,165.89,183.19,100.31,AA,SY
2016,Q3,DAL,EWR,205.73,201.29,201.29,WN,WN
2016,Q3,DAL,HPN,323.55,323.55,323.55,DL,DL
2016,Q3,DAL,ISP,212.25,212.77,212.77,WN,WN
2016,Q3,DAL,JFK,223.33,209.81,209.81,DL,DL
2016,Q3,DAL,LGA,159.05,150.89,150.89,WN,WN
2016,Q3,DFW,EWR,245.07,255.57,232.55,AA,UA
2016,Q3,DFW,HPN,232.94,238.34,221.55,AA,DL
2016,Q3,DFW,ISP,296.49,295.94,295.94,AA,AA
2016,Q3,DFW,JFK,220.16,217.23,217.23,AA,AA
2016,Q3,DFW,LGA,196.99,206.55,206.55,AA,AA
2016,Q3,DFW,SWF,252.73,262.85,224.57,AA,DL
2016,Q3,DAL,RSW,236.55,238.22,234.81,WN,DL
2016,Q3,DFW,RSW,266.03,266.95,266.95,AA,AA
2016,Q3,DAL,GSP,214.57,206.4,206.4,WN,WN
2016,Q3,DFW,GSP,263,267.46,240.4,AA,DL
2016,Q3,DAL,GRR,216.86,216.59,216.59,WN,WN
2016,Q3,DFW,GRR,304.89,323.86,250.62,AA,DL
2016,Q3,DAL,LAS,147.81,147.07,147.07,WN,WN
2016,Q3,DFW,LAS,152.76,167.28,92.26,AA,NK
2016,Q3,DAL,IND,198.99,197.33,197.33,WN,WN
2016,Q3,DFW,IND,247.44,250.04,213.89,AA,UA
