airport,City,latitude,longitude
ABQ,Albuquerque. NM,35.04019928,-106.6090012
ACK,Nantucket. MA,41.25310135,-70.06020355
ACY,Atlantic City. NJ,39.45759964,-74.57720184
COS,Colorado Springs. CO,38.80580139,-104.7009964
DAL,Dallas/Fort Worth. TX,32.8470993,-96.85179901
DFW,Dallas/Fort Worth. TX,32.89680099,-97.03800201
PIT,Pittsburgh. PA,40.49150085,-80.23290253
HSV,Huntsville. AL,34.6371994,-86.77510071
ALB,Albany. NY,42.74829865,-73.80169678
AMA,Amarillo. TX,-4.101111111,141.67
DEN,Denver. CO,39.86169815,-104.6729965
ATL,Atlanta. GA (Metropolitan Area),33.63669968,-84.42810059
AUS,Austin. TX,30.19449997,-97.66989899
AVL,Asheville. NC,-29.1061,-59.6569
TUS,Tucson. AZ,32.11610031,-110.9410019
PHX,Phoenix. AZ,33.43429947,-112.012001
AZA,Phoenix. AZ,-6.7495,145.8535
BDL,Hartford. CT,41.93889999,-72.68319702
SEA,Seattle. WA,47.44900131,-122.3089981
BHM,Birmingham. AL,33.56290054,-86.75350189
ELP,El Paso. TX,-36.59280014,-64.18669891
CAK,Cleveland. OH (Metropolitan Area),40.91609955,-81.44219971
CLE,Cleveland. OH (Metropolitan Area),41.4117012,-81.84980011
BLI,Bellingham. WA,48.7928009,-122.538002
BNA,Nashville. TN,36.12450027,-86.67819977
BOI,Boise. ID,43.56439972,-116.2229996
BOS,Boston. MA (Metropolitan Area),42.3656171,-71.0117489
MHT,Boston. MA (Metropolitan Area),42.93259811,-71.43569946
PVD,Boston. MA (Metropolitan Area),41.73260117,-71.42040253
BTV,Burlington. VT,44.47190094,-73.15329742
BUF,Buffalo. NY,42.94049835,-78.73220062
BZN,Bozeman. MT,45.77750015,-111.1529999
BWI,Washington. DC (Metropolitan Area),39.1774042,-76.6683922
DCA,Washington. DC (Metropolitan Area),38.85210037,-77.03769684
IAD,Washington. DC (Metropolitan Area),38.94449997,-77.45580292
CAE,Columbia. SC,33.93880081,-81.11949921
MDW,Chicago. IL,41.7859993,-87.75240326
ORD,Chicago. IL,41.97859955,-87.90480042
CHS,Charleston. SC,32.89860153,-80.04049683
CLT,Charlotte. NC,35.2140007,-80.94309998
CMH,Columbus. OH,39.9980011,-82.89189911
LCK,Columbus. OH,39.81380081,-82.92780304
STL,St. Louis. MO,38.74869919,-90.37000275
MYR,Myrtle Beach. SC,33.67969894,-78.92829895
JAX,Jacksonville. FL,30.49410057,-81.68789673
CRP,Corpus Christi. TX,27.77039909,-97.50119781
DAB,Daytona Beach. FL,29.17989922,-81.05809784
DAY,Dayton. OH,39.90240097,-84.2193985
DTW,Detroit. MI,42.21239853,-83.35340118
DSM,Des Moines. IA,41.5340004,-93.6631012
HOU,Houston. TX,29.64539909,-95.27890015
IAH,Houston. TX,29.9843998,-95.34140015
MCO,Orlando. FL,28.42939949,-81.30899811
EUG,Eugene. OR,44.12459946,-123.211998
MSP,Minneapolis/St. Paul. MN,-34.7975,-58.8969
EWR,New York City. NY (Metropolitan Area),40.69250107,-74.16870117
HPN,New York City. NY (Metropolitan Area),-34.5772,-58.3838
ISP,New York City. NY (Metropolitan Area),40.79520035,-73.10019684
JFK,New York City. NY (Metropolitan Area),40.63980103,-73.77890015
LGA,New York City. NY (Metropolitan Area),40.77719879,-73.87259674
SWF,New York City. NY (Metropolitan Area),41.5041008,-74.10479736
RSW,Fort Myers. FL,26.53619957,-81.75520325
XNA,Fayetteville. AR,36.2818985,-94.30680084
GSP,Greenville/Spartanburg. SC,-6.053196,145.959047
GEG,Spokane. WA,47.61989975,-117.5339966
GRR,Grand Rapids. MI,42.88079834,-85.52279663
GSO,Greensboro/High Point. NC,36.09780121,-79.93730164
HRL,Harlingen/San Benito. TX,26.22850037,-97.65440369
